Academy,Project Name,Order,Lesson Name,Group,Title,Time,Description
Upper,Superheroes,1,Creating a Backstory,Inspiration,LOOK AND DISCUSS AN ART PIECE THAT INTRODUCES SOME OF THE LESSON CONCEPTS.,10m,"Project the inspiration image where students can see it. Give students a moment to *study it silently, then begin a **brief discussion with the phrase, “What can we find?”. Paraphrase what students say for the benefit of the class, being careful to remain neutral, then ask “What else can we find?”. 
*Alternately, allow them to draw or write what they notice on a blank piece of paper or in a sketchbook.
**The point of this discussion time is to have students learn and add onto each other’s thoughts. By remaining neutral and simply repeating what students say you allow students to do the heavy mental lifting and also create an environment where there is no wrong answer, fostering creativity and mental risk-taking.  "
Upper,Superheroes,1,Creating a Backstory,Introduction,WATCH THE VIDEO INTRODUCTION,5m,"
Watch Video: Lesson 1, Superheroes"
Upper,Superheroes,1,Creating a Backstory,Introduction,CHECK FOR UNDER-STANDING,,"Check for understanding by asking, “Who was listening closely that can sum up what we are doing today?” Make sure that student artists can list all the steps and clarify anything that needs clarifying. "
Upper,Superheroes,1,Creating a Backstory,Worktime,INDEPENDENT,20-25M,The students work independently on their work as the teacher circulates.  Foster strong work habits by commenting on student artists who are focused on their work as well as student artist who seems be pushing themselves to try new things.
Upper,Superheroes,1,Creating a Backstory,Worktime,FOCUS ON GETTING THE KIDS EXCITED ABOUT AND FLESHING OUT THEIR CHARACTER ,,"At this point, the focus of the class period should be getting student artists invested in their character. The teacher should show lots of excitement and listen to the stories the students are coming up with. Periodically stop the class and have artists share the backstory of their superhero to get increased engagement. At this point, don’t worry about students refining their work—the focus is on getting the artists invested in their character. However, try to encourage them to come up with concrete details (what their superhero does, who they fight, what their name is, why they are a superhero, etc.) rather than simply drawing.  
 
 
"
Upper,Superheroes,1,Creating a Backstory,Clean-up/Presentations,"STUDENTS DISCUSS THE ARTISTIC DECISIONS THAT THEY MADE USING ‘WHAT, HOW, AND WHY” THEN TAKE COMMENTS OR QUESTIONS. ",5-10M,"Depending on the teacher’s style of classroom management, it might be helpful to only choose and train a few kids to clean. The rest of the class can be busy with the presentation. Make sure to train these helpers well in advance so that you aren’t left with a messy room. 

Clean-up times will vary with materials; get to know your class and allow 5-10 minutes depending on how efficient they are and whether or not the material was messy. 

Choose presenting student artists in advance and let them know during their work time so that they are prepared. Sharing should work as follows:
Student stands in by their work. A teacher should hold it, or place it on an easel. 

The student presents their work, answering What they made, How they made it, and Why they made the decisions that they did. When they are done they ask “Any comments or questions?” and can take responses from the audience. 

A note on responses: it is o.k. if a audience member questions or wants clarification from the artist. It is also o.k. if an audience member makes suggestions. But it must be done in a kind, thoughtful, and respectful way. 
Always end the conversation by asking the class to give the artist a compliment. "
Lower,Superheroes,1,Creating a Backstory,Inspiration,LOOK AND DISCUSS AN ART PIECE THAT INTRODUCES SOME OF THE LESSON CONCEPTS.,10m,"Project the inspiration image where students can see it. Give students a moment to *study it silently, then begin a **brief discussion with the phrase, “What can we find?”. Paraphrase what students say for the benefit of the class, being careful to remain neutral, then ask “What else can we find?”. 
*Alternately, allow them to draw or write what they notice on a blank piece of paper or in a sketchbook.
**The point of this discussion time is to have students learn and add onto each other’s thoughts. By remaining neutral and simply repeating what students say you allow students to do the heavy mental lifting and also create an environment where there is no wrong answer, fostering creativity and mental risk-taking.  "
Lower,Superheroes,1,Creating a Backstory,Introduction,WATCH THE VIDEO INTRODUCTION,5m,"
Watch Video: Lesson 1, Superheroes"
Lower,Superheroes,1,Creating a Backstory,Introduction,CHECK FOR UNDER-STANDING,,"Check for understanding by asking, “Who was listening closely that can sum up what we are doing today?” Make sure that student artists can list all the steps and clarify anything that needs clarifying. "
Lower,Superheroes,1,Creating a Backstory,Worktime,INDEPENDENT,20-25M,The students work independently on their work as the teacher circulates.  Foster strong work habits by commenting on student artists who are focused on their work as well as student artist who seems be pushing themselves to try new things.
Lower,Superheroes,1,Creating a Backstory,Worktime,FOCUS ON GETTING THE KIDS EXCITED ABOUT AND FLESHING OUT THEIR CHARACTER ,,"At this point, the focus of the class period should be getting student artists invested in their character. The teacher should show lots of excitement and listen to the stories the students are coming up with. Periodically stop the class and have artists share the backstory of their superhero to get increased engagement. At this point, don’t worry about students refining their work—the focus is on getting the artists invested in their character. However, try to encourage them to come up with concrete details (what their superhero does, who they fight, what their name is, why they are a superhero, etc.) rather than simply drawing.  
 
 
"
Lower,Superheroes,1,Creating a Backstory,Clean-up/Presentations,"STUDENTS DISCUSS THE ARTISTIC DECISIONS THAT THEY MADE USING ‘WHAT, HOW, AND WHY” THEN TAKE COMMENTS OR QUESTIONS. ",5-10M,"Depending on the teacher’s style of classroom management, it might be helpful to only choose and train a few kids to clean. The rest of the class can be busy with the presentation. Make sure to train these helpers well in advance so that you aren’t left with a messy room. 

Clean-up times will vary with materials; get to know your class and allow 5-10 minutes depending on how efficient they are and whether or not the material was messy. 

Choose presenting student artists in advance and let them know during their work time so that they are prepared. Sharing should work as follows:
Student stands in by their work. A teacher should hold it, or place it on an easel. 

The student presents their work, answering What they made, How they made it, and Why they made the decisions that they did. When they are done they ask “Any comments or questions?” and can take responses from the audience. 

A note on responses: it is o.k. if a audience member questions or wants clarification from the artist. It is also o.k. if an audience member makes suggestions. But it must be done in a kind, thoughtful, and respectful way. 
Always end the conversation by asking the class to give the artist a compliment. "
Lower,Superheroes,2,Drawing a Silhouette,Inspiration,LOOK AND DISCUSS AN ART PIECE THAT INTRODUCES SOME OF THE LESSON CONCEPTS.,10m,"Project the inspiration image where students can see it. Give students a moment to *study it silently, then begin a **brief discussion with the phrase, “What can we find?”. Paraphrase what students say for the benefit of the class, being careful to remain neutral, then ask “What else can we find?”. 
*Alternately, allow them to draw or write what they notice on a blank piece of paper or in a sketchbook.
**The point of this discussion time is to have students learn and add onto each other’s thoughts. By remaining neutral and simply repeating what students say you allow students to do the heavy mental lifting and also create an environment where there is no wrong answer, fostering creativity and mental risk-taking.  "
Lower,Superheroes,2,Drawing a Silhouette,Introduction,WATCH THE VIDEO INTRODUCTION,5m,"
Watch Video: Lesson 2, Superheroes"
Lower,Superheroes,2,Drawing a Silhouette,Inspiration,CHECK FOR UNDER-STANDING,,"Check for understanding by asking, “Who was listening closely that can sum up what we are doing today?” Make sure that student artists can list all the steps and clarify anything that needs clarifying. In particular, make sure that they understand: they should fill the box with the body part—if they are made smaller the superhero will be (too)small. 
Ensure that students understand that they are NOT cutting out the squares, they are cutting out the shapes inside the squares. "
Lower,Superheroes,2,Drawing a Silhouette,Worktime,INDEPENDENT & PAIR WORK,20-25M,"The students will begin the day by working in pairs to identify the shapes in different parts of their body. The teacher may want to lead this; have the students pair up, then instruct one of them to close their eyes and trace their friend’s head, then the other partner traces, then they both draw. Move on to the neck in the same way, the torso, the arms, and the legs. They then work independently on completing their drawings. "
Lower,Superheroes,2,Drawing a Silhouette,Worktime,FOCUS ON IDENTIFYING  LINE AND SHAPE AND BECOMING FAMILIAR WITH BODY PROPORTIONS ,,"The focus of the class-period should be getting student artists to recognize that they can identify line and shape in what they want to draw. They use the template so that they begin to become familiar with proper body proportions. 


"
Lower,Superheroes,2,Drawing a Silhouette,Clean-up/Presentations,"STUDENTS DISCUSS THE ARTISTIC DECISIONS THAT THEY MADE USING ‘WHAT, HOW, AND WHY” THEN TAKE COMMENTS OR QUESTIONS. ",5-10M,"Depending on the teacher’s style of classroom management, it might be helpful to only choose and train a few kids to clean. The rest of the class can be busy with the presentation. Make sure to train these helpers well in advance so that you aren’t left with a messy room. 

Clean-up times will vary with materials; get to know your class and allow 5-10 minutes depending on how efficient they are and whether or not the material was messy. 

Choose presenting student artists in advance and let them know during their work time so that they are prepared. Sharing should work as follows:
Student stands in by their work. A teacher should hold it, or place it on an easel. 

The student presents their work, answering What they made, How they made it, and Why they made the decisions that they did. When they are done they ask “Any comments or questions?” and can take responses from the audience. 

A note on responses: it is o.k. if a audience member questions or wants clarification from the artist. It is also o.k. if an audience member makes suggestions. But it must be done in a kind, thoughtful, and respectful way. 
Always end the conversation by asking the class to give the artist a compliment. "
Upper,Superheroes,2,Drawing a Silhouette,Inspiration,LOOK AND DISCUSS AN ART PIECE THAT INTRODUCES SOME OF THE LESSON CONCEPTS.,10m,"Project the inspiration image where students can see it. Give students a moment to *study it silently, then begin a **brief discussion with the phrase, “What can we find?”. Paraphrase what students say for the benefit of the class, being careful to remain neutral, then ask “What else can we find?”. 
*Alternately, allow them to draw or write what they notice on a blank piece of paper or in a sketchbook.
**The point of this discussion time is to have students learn and add onto each other’s thoughts. By remaining neutral and simply repeating what students say you allow students to do the heavy mental lifting and also create an environment where there is no wrong answer, fostering creativity and mental risk-taking.  "
Upper,Superheroes,2,Drawing a Silhouette,Introduction,WATCH THE VIDEO INTRODUCTION,5m,"
Watch Video: Lesson 2, Superheroes"
Upper,Superheroes,2,Drawing a Silhouette,Introduction,CHECK FOR UNDER-STANDING,,"Check for understanding by asking, “Who was listening closely that can sum up what we are doing today?” Make sure that student artists can list all the steps and clarify anything that needs clarifying. "
Upper,Superheroes,2,Drawing a Silhouette,Worktime,INDEPENDENT,20-25M,The students work independently on their work as the teacher circulates.  Foster strong work habits by commenting on student artists who are focused on their work as well as student artist who seems be pushing themselves to try new things.
Upper,Superheroes,2,Drawing a Silhouette,Worktime,FOCUS ON ISOLATING AND COPYING LINE ,,"The focus of the class-period should be getting student artists to not feel overwhelmed by a complex image, but instead to reduce it down to single lines that are easy to see and copy. Students having a hard time with this can pair with students who understand and they can work together. Encourage the helpers not to do the work for the other student, but to teach them how to do it for themselves. When talking with the students, try to refer to the drawings in isolated parts—rather than referring to an ‘arm’ refer to the ‘top curved line’. Or the ‘small angled line’. 

"
Upper,Superheroes,2,Drawing a Silhouette,Clean-up/Presentations,"STUDENTS DISCUSS THE ARTISTIC DECISIONS THAT THEY MADE USING ‘WHAT, HOW, AND WHY” THEN TAKE COMMENTS OR QUESTIONS. ",5-10M,"Depending on the teacher’s style of classroom management, it might be helpful to only choose and train a few kids to clean. The rest of the class can be busy with the presentation. Make sure to train these helpers well in advance so that you aren’t left with a messy room. 

Clean-up times will vary with materials; get to know your class and allow 5-10 minutes depending on how efficient they are and whether or not the material was messy. 

Choose presenting student artists in advance and let them know during their work time so that they are prepared. Sharing should work as follows:
Student stands in by their work. A teacher should hold it, or place it on an easel. 

The student presents their work, answering What they made, How they made it, and Why they made the decisions that they did. When they are done they ask “Any comments or questions?” and can take responses from the audience. 

A note on responses: it is o.k. if a audience member questions or wants clarification from the artist. It is also o.k. if an audience member makes suggestions. But it must be done in a kind, thoughtful, and respectful way. 
Always end the conversation by asking the class to give the artist a compliment. "
