Academy,Project Name,Order,Lesson Name,Synopsis,Objective,Set-up,Materials,Photocopies,Media,Inspiration Image Description,Anticipated Problems,Early Finishers
Lower,Superheroes,1,Creating a Backstory,"In this lesson, student artists are introduced to the basic characteristics of superheroes, as well as understanding that each superhero had his or her own unique backstory that told who they were, where they came from, and why or how they became a superhero. Student artists are tasked to brainstorm their own superhero and to generate a backstory for said character by creating a small book and using any combination of writing and drawing to document their superhero’s history. They leave the cover blank for the upcoming lessons. ",SWBAT use multi-media to create and illustrate a narrative that explains their superhero’s backstory. ,"Students will be working individually and choosing their own materials, so have materials set up in a way that is easy to pass out as well as easy for the students artists to see and select from. ","pencils, pens, markers, construction paper, scissors, glue, magazines",N/A,"Optional: 5 Minute Marvel Stories (for the early finishers), or old comics","Apollo by Briton Riviere, 1874. 

Apollo was a Greek Mythological God most closely associated with the sun, but also recognized as a god of music, truth and prophecy. This painting closely illustrates lines spoken in a play written about Apollo. ","If a student is having a hard time coming up with a superhero, ask them if they have heard of Superman? Tell them that he has what is called an ‘alter ego’, where most people think he is ordinary, but when he gets in his costume he has all sorts of powers. Ask them what sorts of powers they would want if they had an alter ego? Then guide them to design their alter ego. Alternately, have them think of their favorite book character and design a character based on that. ","Encourage students to add additional pages and continue to create a narrative for their superhero. Suggest different types of media; if they drew a comic, suggest writing, or creating a list with drawn icons. Students will continue to work on these books throughout the project. You can also offer students the opportunity to look through old comics, or the optional ‘5 Minute Marvel’ stories. "
Upper,Superheroes,1,Creating a Backstory,"In this lesson, student artists are introduced to the basic characteristics of superheroes, as well as understanding that each superhero had his or her own unique backstory that told who they were, where they came from, and why or how they became a superhero. Student artists are tasked to brainstorm their own superhero and to generate a backstory for said character by creating a small book and using any combination of writing and drawing to document their superhero’s history. They leave the cover blank for the upcoming lessons. ",SWBAT use multi-media to create and illustrate a narrative that explains their superhero’s backstory. ,"Students will be working individually and choosing their own materials, so have materials set up in a way that is easy to pass out as well as easy for the students artists to see and select from. ","pencils, pens, markers, construction paper, scissors, glue, magazines",N/A,"Optional: 5 Minute Marvel Stories (for the early finishers), or old comics","Procession Canvas-Diptych, William Kentridge, South African, 2000. Paper collage, charcoal, and paint on canvas, 85.09x 210.19cm. 
","If a student is having a hard time coming up with a superhero, ask them if they have heard of Superman? Tell them that he has what is called an ‘alter ego’, where most people think he is ordinary, but when he gets in his costume he has all sorts of powers. Ask them what sorts of powers they would want if they had an alter ego? Then guide them to design their alter ego. Alternately, have them think of their favorite book character and design a character based on that. ","Encourage students to add additional pages and continue to create a narrative for their superhero. Suggest different types of media; if they drew a comic, suggest writing, or creating a list with drawn icons. Students will continue to work on these books throughout the project. You can also offer students the opportunity to look through old comics, or the optional ‘5 Minute Marvel’ stories. "
Lower,Superheroes,2,Drawing a Silhouette,"In this project, artists look at the shapes that make up their own bodies and recreate these shapes on a piece of paper, cut them, re-assemble them, and ‘pose’ them in their desired superhero pose before drawing the silhouette of their superhero on their paper (this will become the cover for their book). ","SWBAT identify what shapes make up the human body. 
SWBAT draw the shapes that make up the human body.  
SWBAT cut neatly from a piece of paper.  
SWBAT draw using their shapes to re-create their superhero in a unique pose. ","Students will be working individually, so have materials prepared to go out to tables/desks depending on how your class is set up. Students can share scissors. ","pencil, watercolor paper, scissors, eraser",SuperheroParts_L.L2,"Optional: 5 Minute Marvel Stories, or old comics (for early finishers)","Procession Canvas-Diptych, William Kentridge, South African, 2000. Paper collage, charcoal, and paint on canvas, 85.09x 210.19cm. 
","
Students, especially younger students, may have a difficult time cutting. If they are cutting inaccurately, encourage them to cut in smaller ‘bites’. Emphasize going around the outside of the line rather than on the inside. Tell them that it doesn’t matter if it is 100% perfect, as they are going to draw it later and they fix it up as they draw it. 
If they accidentally cut too much, tell them that they can piece it back together and just trace around the outside. If they are still upset, give them a small piece of tape to fix it with. 
If they cut the torso out as individual pieces, that’s ok.
If they misplace a body part, have them borrow a friends after that friend has traced it. 
","Early finishers can add to their ‘zine from Lesson 1, or they can add a background to their superhero silhouette, helping to tell where their superhero lives, etc. (remind them to not add details to their superhero, yet!). They can also reference the optional 5 Minute Marvel stories or old comics.  "
Upper,Superheroes,2,Drawing a Silhouette,"In this lesson, artists receive a packet of superhero ‘body parts’ that they put together and redraw to create their own, unique superhero. They draw this silhouette of their superhero on paper that will become the cover for their book. ","SWBAT isolate and copy lines in a linear image.  
SWBAT put together various images to make a unique character. ","Students will be working individually, so have materials prepared to go out to tables/desks depending on how your class is set up. Students can share scissors. ","pencil, eraser watercolor paper, copy paper",Superhero Parts_U.L2,Optional: ‘5 Minute Marvel’ & comic books for early finishers,"Procession Canvas-Diptych, William Kentridge, South African, 2000. Paper collage, charcoal, and paint on canvas, 85.09x 210.19cm. ","Students may become frustrated if their drawing doesn’t look ‘right’. Ensure them that part of being an artist is identifying the things that don’t look quite right and simply fixing them. Ask them to compare the lines and the shapes and try to help them problem-solve where they feel their drawing isn’t working. Don’t point out problem areas yourself—let them come to their own conclusions. Remind them to use their papers to isolate the other parts of the image and see the lines more clearly. If they are still feeling frustrated, pair them with another  student who is managing well.
Some student might want to draw their superheroes without using the templates. Don’t force the issue—it is more important that they stay engaged. However, explain to them that it is important that they learn to look at a line and be able to make that same line on their own paper because they are creating the skills that they will need to draw from photographs and also from life. Challenge them to draw at least one feature from the packet—one arm, or the legs, etc. 
Some kids will begin adding details. Remind them that we are only drawing the silhouette because we want a strong foundation for the details. Tell them that they can work with details inside their zine if they are feeling inspired. ","Early finishers can add to their ‘zine from lesson 1. Alternately, they can look at the Optional ‘5 Minute Marvel’ stories, or through old comics. "
Lower,Superheroes,3,Adding Details,"In this lesson, students look at how artists help to define their character through the details in their characters' costume. They then create their own details that reflect the backstory that they made up in lesson 1. ","SWBAT add details to their superhero that illustrate their character's personality, abilities, and backstory. ","Students will be working individually, so have materials prepared to go out to tables/desks depending on how your class is set up. ","Pencil, eraser, sharpie",N/A,"Optional: 5 Minute Marvel Stories, or old comics (for early finishers)","Arachne, Paolo Veronese, aprox.1570

In Greco-Roman mythology, Arachne was a mortal woman and talented weaver who challenged Athena, goddess of wisdom and crafts, and was transformed into a spider. Spiders are called ""arachnids"" after Arachne.","If a student artist is having a hard time thinking of details, the teacher should suggest looking through the zine they they made during Lesson 1 and walk the student through making a detail from one of the elements that they had in their ‘zine (for example: if the student wrote that their superhero could fly very quickly, ask the student how that could be represented). 
If a student gets frustrated by not being able to draw the details they are envisioning, you can offer to: a) look up an image of whatever it is they are trying to draw on a laptop or tablet for them to reference or b) pair them with another student. ","Early finishers can add to their ‘zine from lesson 1, perhaps adding comic strips that detail a story that their character took part in. 
If they didn’t during the previous last lesson, students can also consider the background of their comic and add details that help to describe where their superhero lives/works. If the optional ‘5 Minute Marvel’ or comic books were purchased, students can look through these for inspiration. "
Upper,Superheroes,3,Adding Details,"In this lesson, students look at how artists help to define their character through the details in their characters' costume. They then create their own details that reflect the backstory that they made up in lesson 1. ","SWBAT add details to their superhero that illustrate their character's personality, abilities, and backstory. ","Students will be working individually, so have materials prepared to go out to tables/desks depending on how your class is set up. ","Pencil, eraser, sharpie",N/A,"Optional: 5 Minute Marvel Stories, or old comics (for early finishers)","Arachne, Paolo Veronese, aprox.1570

In Greco-Roman mythology, Arachne was a mortal woman and talented weaver who challenged Athena, goddess of wisdom and crafts, and was transformed into a spider. Spiders are called ""arachnids"" after Arachne.","If a student artist is having a hard time thinking of details, the teacher should suggest looking through the zine they they made during Lesson 1 and walk the student through making a detail from one of the elements that they had in their ‘zine (for example: if the student wrote that their superhero could fly very quickly, ask the student how that could be represented). 
If a student gets frustrated by not being able to draw the details they are envisioning, you can offer to: a) look up an image of whatever it is they are trying to draw on a laptop or tablet for them to reference or b) pair them with another student. ","Early finishers can add to their ‘zine from lesson 1, perhaps adding comic strips that detail a story that their character took part in. 
If they didn’t during the previous last lesson, students can also consider the background of their comic and add details that help to describe where their superhero lives/works. If the optional ‘5 Minute Marvel’ or comic books were purchased, students can look through these for inspiration. "
Lower,Superheroes,4,"Adding Details, Day 2",Students have a full day to finish drawing their superhero and work on their zine. ,"SWBAT add details to their superhero that illustrate their characters' personality, abilities,and backstory. ","Students will be working individually, so have materials prepared to go out to tables/desks depending on how your class is set up. ","Pencil, eraser, sharpie, collage materials, markers, glue",Comic Strip templates (for early finishers). A selection can be found here: http://paperzip.co.uk/literacy/writing/blank-comic-book-templates,N/A,"The Bat, Jeffrey Veregge, March 2012. 

Jeffrey Veregge is Native American and takes popular superheroes and translates them through his Native American background using traditional symbols and patterns.","If a student artist is having a hard time thinking of details, the teacher should suggest looking through the zine they they made during Lesson 1 and walk the student through making a detail from one of the elements that they had in their ‘zine (for example: if the student wrote that their superhero could fly very quickly, ask the student how that could be represented). 
If a student gets frustrated by not being able to draw the details they are envisioning, you can offer to: a) look up an image of whatever it is they are trying to draw on a laptop or tablet for them to reference or b) pair them with another student. ",See Introduction
Upper,Superheroes,4,"Adding Details, Day 2",Students have a full day to finish drawing their superhero and work on their zine. ,"SWBAT add details to their superhero that illustrate their characters' personality, abilities,and backstory. ","Students will be working individually, so have materials prepared to go out to tables/desks depending on how your class is set up. ","Pencil, eraser, sharpie, collage materials, markers, glue",Comic Strip templates (for early finishers). A selection can be found here: http://paperzip.co.uk/literacy/writing/blank-comic-book-templates,N/A,"The Bat, Jeffrey Veregge, March 2012. 

Jeffrey Veregge is Native American and takes popular superheroes and translates them through his Native American background using traditional symbols and patterns.","If a student artist is having a hard time thinking of details, the teacher should suggest looking through the zine they they made during Lesson 1 and walk the student through making a detail from one of the elements that they had in their ‘zine (for example: if the student wrote that their superhero could fly very quickly, ask the student how that could be represented). 
If a student gets frustrated by not being able to draw the details they are envisioning, you can offer to: a) look up an image of whatever it is they are trying to draw on a laptop or tablet for them to reference or b) pair them with another student. ",See Introduction
Lower,Superheroes,5,Finishing with Watercolors,"During this project, artists finish their superheroes with watercolors.","SWBAT keep their colors clean and separate.
SWBAT intentionally create thin or thick lines with their paintbrush. ","Students will be working individually, so have materials prepared to go out to tables/or desks depending on how your class is set up. Painting can be a little more tricky to manage for clean-up, so stop a little bit sooner than you usually would, and have a plan for where you want 1) wet paintings to dry  2) brushes to be washed (a few helpers, or a bucket of water) and 3)how to get paint off of hands (wet wipes are great!) ","Drawings from lessons  2 & 3, pan watercolors, brushes, water, paper towels",Artist Statement Worksheet_L.,N/A,,"If a student paints an area that they didn’t mean to paint, tell them to let it dry, then they can add another color on top of it and work it into their piece. Alternately, you can use clean water and a paper towel to ‘blot’ the color up, but it won’t remove it perfectly. ","As students finish, tell them that artists often have to write an artist’s statement that tells their viewers what they made and why. Ask them to write an artist statement using the Lower Academy Artist Statement Handout and attach it to the back of their work."
Upper,Superheroes,5,Finishing with Watercolors,"During this project, artists finish their superheroes with watercolors. 
*Monitor your class. Depending on how quickly the follow-along portion is finished, some classes will need two days to complete their project. You can use the second day by making sure each student artist fills out an artists statement and share the projects class-wide. ","SWBAT keep their colors clean and separate.
SWBAT bleed and blend colors in a controlled way. 
SWBAT intentionally create thin or thick lines with their paintbrush. ","Students will be working individually, so have materials prepared to go out to tables/desks depending on how your class is set up. Painting can be a little more tricky to manage for clean-up, so stop a little bit sooner than you usually would, and have a plan for where you want 1) wet paintings to dry  2) brushes to be washed (a few helpers, or a bucket of water) and 3)how to get paint off of hands (wet wipes are great!) ","Drawings from lessons 2 & 3, pan watercolors, brushes, water, paper towels",Artist Statement Worksheet_U.,N/A,,"If a student paints an area that they didn’t mean to paint, tell them to let it dry, then they can add another color on top of it and work it into their piece. Alternately, you can use clean water and a paper towel to ‘blot’ the color up, but it won’t remove it perfectly. ","As students finish, tell them that artists often have to write an artist’s statement that tells their viewers what they made and why. Ask them to write an artist statement using the Lower Academy Artist Statement Handout and attach it to the back of their work."
